algorithm,n,structure,element_type,runs,mean_ms,min_ms,max_ms
bubble_sort,20,random,int,500,0.0387,0.0184,0.3705
bucket_sort,20,random,int,500,0.0128,0.0104,0.0437
comb_sort,20,random,int,500,0.0133,0.011,0.2577
counting_sort,20,random,int,500,0.0433,0.0292,0.2139
heap_sort,20,random,int,500,0.0266,0.0219,0.1712
insertion_sort,20,random,int,500,0.0194,0.0129,0.0934
intro_sort,20,random,int,500,0.0185,0.0098,0.2079
merge_sort,20,random,int,500,0.0455,0.0222,0.4523
merge_sort_iterative,20,random,int,500,0.0341,0.0238,0.1766
patience_sort,20,random,int,500,0.0201,0.0128,0.0979
quick_sort,20,random,int,500,0.02,0.0105,0.2153
radix_sort,20,random,int,500,0.0314,0.0235,0.1546
selection_sort,20,random,int,500,0.0264,0.0145,0.0948
shell_sort,20,random,int,500,0.0329,0.0125,0.6826
tim_sort,20,random,int,500,0.0016,0.0011,0.016
bubble_sort,20,sorted,int,500,0.0039,0.0016,0.0367
bucket_sort,20,sorted,int,500,0.0192,0.0115,0.1014
comb_sort,20,sorted,int,500,0.0243,0.0078,0.2357
counting_sort,20,sorted,int,500,0.0811,0.0301,2.7104
heap_sort,20,sorted,int,500,0.0466,0.0211,0.1372
insertion_sort,20,sorted,int,500,0.0082,0.0075,0.0232
intro_sort,20,sorted,int,500,0.0163,0.0122,0.0618
merge_sort,20,sorted,int,500,0.0608,0.0238,1.1927
merge_sort_iterative,20,sorted,int,500,0.0371,0.0264,0.1524
patience_sort,20,sorted,int,500,0.0332,0.0181,0.2141
quick_sort,20,sorted,int,500,0.0232,0.0102,0.1361
radix_sort,20,sorted,int,500,0.0665,0.0228,0.3177
selection_sort,20,sorted,int,500,0.019,0.0123,0.2867
shell_sort,20,sorted,int,500,0.0069,0.0064,0.0284
tim_sort,20,sorted,int,500,0.0008,0.0005,0.0153
bubble_sort,20,reverse,int,500,0.0468,0.0255,0.2314
bucket_sort,20,reverse,int,500,0.0172,0.0111,0.1442
comb_sort,20,reverse,int,500,0.0116,0.0102,0.0424
counting_sort,20,reverse,int,500,0.0628,0.0298,0.2315
heap_sort,20,reverse,int,500,0.0249,0.0168,0.2107
insertion_sort,20,reverse,int,500,0.028,0.0164,0.2157
intro_sort,20,reverse,int,500,0.0234,0.0103,0.3284
merge_sort,20,reverse,int,500,0.0765,0.0267,0.779
merge_sort_iterative,20,reverse,int,500,0.0928,0.0262,4.7361
patience_sort,20,reverse,int,500,0.0178,0.0137,0.0532
quick_sort,20,reverse,int,500,0.0273,0.0121,0.3627
radix_sort,20,reverse,int,500,0.0381,0.0226,0.1723
selection_sort,20,reverse,int,500,0.0246,0.0127,0.2609
shell_sort,20,reverse,int,500,0.0267,0.01,0.1574
tim_sort,20,reverse,int,500,0.0007,0.0004,0.0189
bubble_sort,20,almost_sorted,int,500,0.0162,0.0105,0.0649
bucket_sort,20,almost_sorted,int,500,0.026,0.0112,0.6044
comb_sort,20,almost_sorted,int,500,0.0247,0.0104,0.1215
counting_sort,20,almost_sorted,int,500,0.0452,0.0309,0.3474
heap_sort,20,almost_sorted,int,500,0.029,0.0222,0.1352
insertion_sort,20,almost_sorted,int,500,0.0086,0.0042,0.0572
intro_sort,20,almost_sorted,int,500,0.0098,0.007,0.0242
merge_sort,20,almost_sorted,int,500,0.041,0.0231,0.2137
merge_sort_iterative,20,almost_sorted,int,500,0.0356,0.0253,0.2078
patience_sort,20,almost_sorted,int,500,0.0229,0.0163,0.1235
